Admissões,Desligamentos,Saldos,data,mes,ano,atividade
115.0,83.0,32.0,Setembro/2021,Setembro,2021,['Serviços domésticos']
47575.0,35832.0,11743.0,Setembro/2021,Setembro,2021,['Outros serviços']
11586.0,7684.0,3902.0,Setembro/2021,Setembro,2021,"['Artes, Cultura, Esporte e Recreação']"
35970.0,28137.0,7833.0,Setembro/2021,Setembro,2021,['Outras Atividades de Serviços']
19.0,11.0,8.0,Setembro/2021,Setembro,2021,['Organismos Internacionais e Outras Instituições Extraterritoriais']
84013.0,47184.0,36829.0,Junho/2020,Junho,2020,"['Agricultura, pecuária, produção florestal, pesca e aquicultura']"
145974.0,151491.0,-5517.0,Junho/2020,Junho,2020,['Indústria geral']
3563.0,2927.0,636.0,Junho/2020,Junho,2020,['Indústrias Extrativas']
137323.0,141765.0,-4442.0,Junho/2020,Junho,2020,['Indústrias de Transformação']
750.0,1084.0,-334.0,Junho/2020,Junho,2020,['Eletricidade e Gás']
4338.0,5715.0,-1377.0,Junho/2020,Junho,2020,"['Água, Esgoto, Atividades de Gestão de Resíduos e Descontaminação']"
114898.0,97882.0,17016.0,Junho/2020,Junho,2020,['Construção']
191301.0,211100.0,-19799.0,Junho/2020,Junho,2020,['Comércio; reparação de veículos automotores e motocicletas']
373990.0,425630.0,-51640.0,Junho/2020,Junho,2020,['Serviços']
47990.0,56840.0,-8850.0,Junho/2020,Junho,2020,"['Transporte, armazenagem e correio']"
17676.0,55780.0,-38104.0,Junho/2020,Junho,2020,['Alojamento e alimentação']
223257.0,212424.0,10833.0,Junho/2020,Junho,2020,"['Informação, comunicação e atividades financeiras, imobiliárias, profissionais e administrativas']"
19171.0,17927.0,1244.0,Junho/2020,Junho,2020,['Informação e Comunicação']
7656.0,8838.0,-1182.0,Junho/2020,Junho,2020,"['Atividades Financeiras, de Seguros e Serviços Relacionados']"
2907.0,3370.0,-463.0,Junho/2020,Junho,2020,['Atividades Imobiliárias']
26518.0,30407.0,-3889.0,Junho/2020,Junho,2020,"['Atividades Profissionais, Científicas e Técnicas']"
167005.0,151882.0,15123.0,Junho/2020,Junho,2020,['Atividades Administrativas e Serviços Complementares']
69728.0,76856.0,-7128.0,Junho/2020,Junho,2020,"['Administração pública, defesa e seguridade social, educação, saúde humana e serviços sociais']"
2402.0,2672.0,-270.0,Junho/2020,Junho,2020,"['Administração Pública, Defesa e Seguridade Social']"
8517.0,28934.0,-20417.0,Junho/2020,Junho,2020,['Educação']
58809.0,45250.0,13559.0,Junho/2020,Junho,2020,['Saúde Humana e Serviços Sociais']
44.0,41.0,3.0,Junho/2020,Junho,2020,['Serviços domésticos']
15295.0,23689.0,-8394.0,Junho/2020,Junho,2020,['Outros serviços']
1151.0,5672.0,-4521.0,Junho/2020,Junho,2020,"['Artes, Cultura, Esporte e Recreação']"
14133.0,17993.0,-3860.0,Junho/2020,Junho,2020,['Outras Atividades de Serviços']
11.0,24.0,-13.0,Junho/2020,Junho,2020,['Organismos Internacionais e Outras Instituições Extraterritoriais']
52759.0,58200.0,-5441.0,Abril/2020,Abril,2020,"['Agricultura, pecuária, produção florestal, pesca e aquicultura']"
96258.0,301336.0,-205078.0,Abril/2020,Abril,2020,['Indústria geral']
2063.0,3349.0,-1286.0,Abril/2020,Abril,2020,['Indústrias Extrativas']
89813.0,290573.0,-200760.0,Abril/2020,Abril,2020,['Indústrias de Transformação']
